DoubleStream-Timestep0-Layer0-Rank3: 289.0057067871094ms
DoubleStream-Timestep0-Layer0-Rank1: 290.0815124511719ms
DoubleStream-Timestep0-Layer0-Rank0: 295.29559326171875ms
DoubleStream-Timestep0-Layer0-Rank2: 294.0171203613281ms
DoubleStream-Timestep0-Layer1-Rank3: 292.3523864746094ms
DoubleStream-Timestep0-Layer1-Rank0: 292.6451110839844ms
DoubleStream-Timestep0-Layer1-Rank1: 292.7632141113281ms
DoubleStream-Timestep0-Layer1-Rank2: 293.2843933105469ms
DoubleStream-Timestep0-Layer2-Rank0: 288.8607177734375ms
DoubleStream-Timestep0-Layer2-Rank3: 289.35498046875ms
DoubleStream-Timestep0-Layer2-Rank1: 289.64215087890625ms
DoubleStream-Timestep0-Layer2-Rank2: 289.4495544433594ms
DoubleStream-Timestep0-Layer3-Rank1: 300.96722412109375ms
DoubleStream-Timestep0-Layer3-Rank2: 300.955322265625ms
DoubleStream-Timestep0-Layer3-Rank3: 301.3859558105469ms
DoubleStream-Timestep0-Layer3-Rank0: 301.3099060058594ms
DoubleStream-Timestep0-Layer4-Rank3: 290.6985778808594ms
DoubleStream-Timestep0-Layer4-Rank0: 290.8959655761719ms
DoubleStream-Timestep0-Layer4-Rank1: 291.4285888671875ms
DoubleStream-Timestep0-Layer4-Rank2: 291.2171936035156ms
DoubleStream-Timestep0-Layer5-Rank3: 297.1834411621094ms
DoubleStream-Timestep0-Layer5-Rank0: 297.2357482910156ms
DoubleStream-Timestep0-Layer5-Rank1: 296.95220947265625ms
DoubleStream-Timestep0-Layer5-Rank2: 296.4983215332031ms
DoubleStream-Timestep0-Layer6-Rank3: 296.151123046875ms
DoubleStream-Timestep0-Layer6-Rank1: 296.5526428222656ms
DoubleStream-Timestep0-Layer6-Rank2: 296.835693359375ms
DoubleStream-Timestep0-Layer6-Rank0: 296.98785400390625ms
DoubleStream-Timestep0-Layer7-Rank3: 293.9374084472656ms
DoubleStream-Timestep0-Layer7-Rank0: 294.51519775390625ms
DoubleStream-Timestep0-Layer7-Rank1: 294.8256530761719ms
DoubleStream-Timestep0-Layer7-Rank2: 294.3631286621094ms
DoubleStream-Timestep0-Layer8-Rank1: 300.2234802246094ms
DoubleStream-Timestep0-Layer8-Rank3: 300.6827697753906ms
DoubleStream-Timestep0-Layer8-Rank2: 300.87506103515625ms
DoubleStream-Timestep0-Layer8-Rank0: 300.8859558105469ms
DoubleStream-Timestep0-Layer9-Rank1: 296.40380859375ms
DoubleStream-Timestep0-Layer9-Rank3: 296.5557861328125ms
DoubleStream-Timestep0-Layer9-Rank0: 296.24432373046875ms
DoubleStream-Timestep0-Layer9-Rank2: 296.38934326171875ms
DoubleStream-Timestep0-Layer10-Rank1: 299.9967041015625ms
DoubleStream-Timestep0-Layer10-Rank3: 300.1195068359375ms
DoubleStream-Timestep0-Layer10-Rank0: 300.4179382324219ms
DoubleStream-Timestep0-Layer10-Rank2: 300.0268249511719ms
DoubleStream-Timestep0-Layer11-Rank1: 300.3228454589844ms
DoubleStream-Timestep0-Layer11-Rank0: 300.0995788574219ms
DoubleStream-Timestep0-Layer11-Rank3: 299.8165588378906ms
DoubleStream-Timestep0-Layer11-Rank2: 300.6358337402344ms
DoubleStream-Timestep0-Layer12-Rank1: 289.3921203613281ms
DoubleStream-Timestep0-Layer12-Rank3: 677.9848022460938ms
DoubleStream-Timestep0-Layer12-Rank0: 677.8203125ms
DoubleStream-Timestep0-Layer12-Rank2: 677.719970703125ms
DoubleStream-Timestep0-Layer13-Rank3: 294.99853515625ms
DoubleStream-Timestep0-Layer13-Rank0: 295.62371826171875ms
DoubleStream-Timestep0-Layer13-Rank2: 295.4724426269531ms
DoubleStream-Timestep0-Layer13-Rank1: 297.1834411621094ms
DoubleStream-Timestep0-Layer14-Rank0: 295.283203125ms
DoubleStream-Timestep0-Layer14-Rank1: 295.3762512207031ms
DoubleStream-Timestep0-Layer14-Rank2: 295.0630798339844ms
DoubleStream-Timestep0-Layer14-Rank3: 295.7884826660156ms
DoubleStream-Timestep0-Layer15-Rank0: 310.45849609375ms
DoubleStream-Timestep0-Layer15-Rank1: 310.2049255371094ms
DoubleStream-Timestep0-Layer15-Rank3: 311.52716064453125ms
DoubleStream-Timestep0-Layer15-Rank2: 310.39862060546875ms
DoubleStream-Timestep0-Layer16-Rank0: 294.4190368652344ms
DoubleStream-Timestep0-Layer16-Rank1: 295.1697082519531ms
DoubleStream-Timestep0-Layer16-Rank3: 294.97607421875ms
DoubleStream-Timestep0-Layer16-Rank2: 294.5557861328125ms
DoubleStream-Timestep0-Layer17-Rank0: 303.3865966796875ms
DoubleStream-Timestep0-Layer17-Rank1: 303.31353759765625ms
DoubleStream-Timestep0-Layer17-Rank3: 303.0467224121094ms
DoubleStream-Timestep0-Layer17-Rank2: 303.0230712890625ms
DoubleStream-Timestep0-Layer18-Rank1: 299.86761474609375ms
DoubleStream-Timestep0-Layer18-Rank3: 299.9171447753906ms
DoubleStream-Timestep0-Layer18-Rank2: 299.7972106933594ms
DoubleStream-Timestep0-Layer18-Rank0: 300.38336181640625ms
DoubleStream-Timestep0-Layer19-Rank0: 295.6903991699219ms
DoubleStream-Timestep0-Layer19-Rank1: 296.33660888671875ms
DoubleStream-Timestep0-Layer19-Rank3: 296.05224609375ms
DoubleStream-Timestep0-Layer19-Rank2: 296.08380126953125ms
SingleStream-Timestep0-Layer0-Rank3: 302.1861877441406ms
SingleStream-Timestep0-Layer0-Rank0: 302.00189208984375ms
SingleStream-Timestep0-Layer0-Rank2: 302.3288879394531ms
SingleStream-Timestep0-Layer0-Rank1: 302.34375ms
SingleStream-Timestep0-Layer1-Rank3: 297.156494140625ms
SingleStream-Timestep0-Layer1-Rank1: 296.4895324707031ms
SingleStream-Timestep0-Layer1-Rank2: 296.7674560546875ms
SingleStream-Timestep0-Layer1-Rank0: 297.3025207519531ms
SingleStream-Timestep0-Layer2-Rank1: 298.56060791015625ms
SingleStream-Timestep0-Layer2-Rank3: 298.9912414550781ms
SingleStream-Timestep0-Layer2-Rank0: 298.52752685546875ms
SingleStream-Timestep0-Layer2-Rank2: 298.6226501464844ms
SingleStream-Timestep0-Layer3-Rank1: 298.4826965332031ms
SingleStream-Timestep0-Layer3-Rank3: 298.60113525390625ms
SingleStream-Timestep0-Layer3-Rank0: 298.5551452636719ms
SingleStream-Timestep0-Layer3-Rank2: 298.5719909667969ms
SingleStream-Timestep0-Layer4-Rank1: 299.3177795410156ms
SingleStream-Timestep0-Layer4-Rank3: 299.0074157714844ms
SingleStream-Timestep0-Layer4-Rank0: 298.7136535644531ms
SingleStream-Timestep0-Layer4-Rank2: 298.82977294921875ms
SingleStream-Timestep0-Layer5-Rank1: 300.2003173828125ms
SingleStream-Timestep0-Layer5-Rank3: 300.146240234375ms
SingleStream-Timestep0-Layer5-Rank2: 300.029296875ms
SingleStream-Timestep0-Layer5-Rank0: 300.57049560546875ms
SingleStream-Timestep0-Layer6-Rank0: 296.0465393066406ms
SingleStream-Timestep0-Layer6-Rank3: 296.1935729980469ms
SingleStream-Timestep0-Layer6-Rank1: 296.461669921875ms
SingleStream-Timestep0-Layer6-Rank2: 296.1548156738281ms
SingleStream-Timestep0-Layer7-Rank0: 299.368896484375ms
SingleStream-Timestep0-Layer7-Rank3: 299.03814697265625ms
SingleStream-Timestep0-Layer7-Rank1: 299.2425842285156ms
SingleStream-Timestep0-Layer7-Rank2: 299.32818603515625ms
SingleStream-Timestep0-Layer8-Rank3: 296.99041748046875ms
SingleStream-Timestep0-Layer8-Rank0: 297.022216796875ms
SingleStream-Timestep0-Layer8-Rank2: 296.84759521484375ms
SingleStream-Timestep0-Layer8-Rank1: 297.0446472167969ms
SingleStream-Timestep0-Layer9-Rank3: 298.6524658203125ms
SingleStream-Timestep0-Layer9-Rank1: 298.4387512207031ms
SingleStream-Timestep0-Layer9-Rank0: 298.3406982421875ms
SingleStream-Timestep0-Layer9-Rank2: 298.4711608886719ms
SingleStream-Timestep0-Layer10-Rank0: 299.0762023925781ms
SingleStream-Timestep0-Layer10-Rank3: 298.8132629394531ms
SingleStream-Timestep0-Layer10-Rank2: 299.1341247558594ms
SingleStream-Timestep0-Layer10-Rank1: 299.0811462402344ms
SingleStream-Timestep0-Layer11-Rank0: 298.71954345703125ms
SingleStream-Timestep0-Layer11-Rank3: 298.64508056640625ms
SingleStream-Timestep0-Layer11-Rank2: 298.84503173828125ms
SingleStream-Timestep0-Layer11-Rank1: 298.8976745605469ms
SingleStream-Timestep0-Layer12-Rank0: 297.27105712890625ms
SingleStream-Timestep0-Layer12-Rank3: 297.2025451660156ms
SingleStream-Timestep0-Layer12-Rank2: 297.37921142578125ms
SingleStream-Timestep0-Layer12-Rank1: 297.43853759765625ms
SingleStream-Timestep0-Layer13-Rank0: 298.2353820800781ms
SingleStream-Timestep0-Layer13-Rank3: 297.8481750488281ms
SingleStream-Timestep0-Layer13-Rank2: 297.969970703125ms
SingleStream-Timestep0-Layer13-Rank1: 298.1612548828125ms
SingleStream-Timestep0-Layer14-Rank1: 295.99639892578125ms
SingleStream-Timestep0-Layer14-Rank0: 296.4710388183594ms
SingleStream-Timestep0-Layer14-Rank2: 296.6014709472656ms
SingleStream-Timestep0-Layer14-Rank3: 296.6889343261719ms
SingleStream-Timestep0-Layer15-Rank0: 295.9146728515625ms
SingleStream-Timestep0-Layer15-Rank1: 296.24285888671875ms
SingleStream-Timestep0-Layer15-Rank2: 295.9071350097656ms
SingleStream-Timestep0-Layer15-Rank3: 295.9151306152344ms
SingleStream-Timestep0-Layer16-Rank0: 297.9348449707031ms
SingleStream-Timestep0-Layer16-Rank3: 297.9764709472656ms
SingleStream-Timestep0-Layer16-Rank2: 298.06903076171875ms
SingleStream-Timestep0-Layer16-Rank1: 298.4156188964844ms
SingleStream-Timestep0-Layer17-Rank3: 297.37744140625ms
SingleStream-Timestep0-Layer17-Rank0: 297.5455627441406ms
SingleStream-Timestep0-Layer17-Rank2: 297.56207275390625ms
SingleStream-Timestep0-Layer17-Rank1: 297.7198791503906ms
SingleStream-Timestep0-Layer18-Rank1: 295.1417236328125ms
SingleStream-Timestep0-Layer18-Rank0: 295.0210876464844ms
SingleStream-Timestep0-Layer18-Rank3: 295.2705383300781ms
SingleStream-Timestep0-Layer18-Rank2: 295.045166015625ms
SingleStream-Timestep0-Layer19-Rank1: 296.5629577636719ms
SingleStream-Timestep0-Layer19-Rank0: 296.48797607421875ms
SingleStream-Timestep0-Layer19-Rank3: 296.8135681152344ms
SingleStream-Timestep0-Layer19-Rank2: 296.7540588378906ms
SingleStream-Timestep0-Layer20-Rank3: 295.2093200683594ms
SingleStream-Timestep0-Layer20-Rank0: 295.24237060546875ms
SingleStream-Timestep0-Layer20-Rank1: 295.0985107421875ms
SingleStream-Timestep0-Layer20-Rank2: 295.2072448730469ms
SingleStream-Timestep0-Layer21-Rank1: 298.36614990234375ms
SingleStream-Timestep0-Layer21-Rank3: 298.4491882324219ms
SingleStream-Timestep0-Layer21-Rank2: 298.33074951171875ms
SingleStream-Timestep0-Layer21-Rank0: 298.2765808105469ms
SingleStream-Timestep0-Layer22-Rank0: 297.4208679199219ms
SingleStream-Timestep0-Layer22-Rank1: 297.7164306640625ms
SingleStream-Timestep0-Layer22-Rank3: 297.552734375ms
SingleStream-Timestep0-Layer22-Rank2: 297.5559387207031ms
SingleStream-Timestep0-Layer23-Rank0: 298.0559997558594ms
SingleStream-Timestep0-Layer23-Rank3: 297.7855224609375ms
SingleStream-Timestep0-Layer23-Rank1: 298.18212890625ms
SingleStream-Timestep0-Layer23-Rank2: 297.9663391113281ms
SingleStream-Timestep0-Layer24-Rank3: 299.8721008300781ms
SingleStream-Timestep0-Layer24-Rank0: 299.97467041015625ms
SingleStream-Timestep0-Layer24-Rank2: 299.9521484375ms
SingleStream-Timestep0-Layer24-Rank1: 300.0726013183594ms
SingleStream-Timestep0-Layer25-Rank3: 297.5162048339844ms
SingleStream-Timestep0-Layer25-Rank1: 297.5154113769531ms
SingleStream-Timestep0-Layer25-Rank0: 297.791748046875ms
SingleStream-Timestep0-Layer25-Rank2: 297.5105895996094ms
SingleStream-Timestep0-Layer26-Rank1: 297.2493896484375ms
SingleStream-Timestep0-Layer26-Rank3: 297.48199462890625ms
SingleStream-Timestep0-Layer26-Rank2: 297.38433837890625ms
SingleStream-Timestep0-Layer26-Rank0: 297.4558410644531ms
SingleStream-Timestep0-Layer27-Rank0: 295.8916931152344ms
SingleStream-Timestep0-Layer27-Rank1: 296.14215087890625ms
SingleStream-Timestep0-Layer27-Rank2: 296.03271484375ms
SingleStream-Timestep0-Layer27-Rank3: 296.049560546875ms
SingleStream-Timestep0-Layer28-Rank0: 299.9989929199219ms
SingleStream-Timestep0-Layer28-Rank1: 299.950439453125ms
SingleStream-Timestep0-Layer28-Rank2: 299.9362487792969ms
SingleStream-Timestep0-Layer28-Rank3: 299.941650390625ms
SingleStream-Timestep0-Layer29-Rank0: 299.3297424316406ms
SingleStream-Timestep0-Layer29-Rank3: 299.304443359375ms
SingleStream-Timestep0-Layer29-Rank1: 299.3350830078125ms
SingleStream-Timestep0-Layer29-Rank2: 299.4128112792969ms
SingleStream-Timestep0-Layer30-Rank3: 296.06256103515625ms
SingleStream-Timestep0-Layer30-Rank1: 295.8196105957031ms
SingleStream-Timestep0-Layer30-Rank0: 296.24163818359375ms
SingleStream-Timestep0-Layer30-Rank2: 295.831298828125ms
SingleStream-Timestep0-Layer31-Rank3: 299.16265869140625ms
SingleStream-Timestep0-Layer31-Rank1: 299.0325622558594ms
SingleStream-Timestep0-Layer31-Rank0: 298.97198486328125ms
SingleStream-Timestep0-Layer31-Rank2: 298.9591369628906ms
SingleStream-Timestep0-Layer32-Rank3: 720.3065185546875ms
SingleStream-Timestep0-Layer32-Rank0: 720.4232177734375ms
SingleStream-Timestep0-Layer32-Rank1: 720.5154418945312ms
SingleStream-Timestep0-Layer32-Rank2: 720.546875ms
SingleStream-Timestep0-Layer33-Rank3: 292.52484130859375ms
SingleStream-Timestep0-Layer33-Rank1: 292.6698913574219ms
SingleStream-Timestep0-Layer33-Rank0: 292.9276428222656ms
SingleStream-Timestep0-Layer33-Rank2: 292.5625305175781ms
SingleStream-Timestep0-Layer34-Rank3: 306.6982727050781ms
SingleStream-Timestep0-Layer34-Rank0: 307.18035888671875ms
SingleStream-Timestep0-Layer34-Rank2: 307.2469177246094ms
SingleStream-Timestep0-Layer34-Rank1: 306.51513671875ms
SingleStream-Timestep0-Layer35-Rank0: 293.998291015625ms
SingleStream-Timestep0-Layer35-Rank3: 294.31561279296875ms
SingleStream-Timestep0-Layer35-Rank2: 294.2791442871094ms
SingleStream-Timestep0-Layer35-Rank1: 294.4349365234375ms
SingleStream-Timestep0-Layer36-Rank0: 294.5066223144531ms
SingleStream-Timestep0-Layer36-Rank3: 294.32940673828125ms
SingleStream-Timestep0-Layer36-Rank1: 294.4308776855469ms
SingleStream-Timestep0-Layer36-Rank2: 294.7522277832031ms
SingleStream-Timestep0-Layer37-Rank1: 298.9695129394531ms
SingleStream-Timestep0-Layer37-Rank3: 299.1770324707031ms
SingleStream-Timestep0-Layer37-Rank0: 299.1297607421875ms
SingleStream-Timestep0-Layer37-Rank2: 299.1468505859375ms
SingleStream-Timestep0-Layer38-Rank3: 293.0564270019531ms
SingleStream-Timestep0-Layer38-Rank1: 292.97930908203125ms
SingleStream-Timestep0-Layer38-Rank0: 292.9844055175781ms
SingleStream-Timestep0-Layer38-Rank2: 293.0956726074219ms
SingleStream-Timestep0-Layer39-Rank0: 299.5870666503906ms
SingleStream-Timestep0-Layer39-Rank3: 299.6188049316406ms
SingleStream-Timestep0-Layer39-Rank1: 299.67169189453125ms
SingleStream-Timestep0-Layer39-Rank2: 299.4541931152344ms
DoubleStream-Timestep1-Layer0-Rank0: 296.05548095703125ms
DoubleStream-Timestep1-Layer0-Rank3: 296.4590759277344ms
DoubleStream-Timestep1-Layer0-Rank2: 296.46484375ms
DoubleStream-Timestep1-Layer0-Rank1: 296.617919921875ms
DoubleStream-Timestep1-Layer1-Rank3: 301.58953857421875ms
DoubleStream-Timestep1-Layer1-Rank1: 301.44793701171875ms
DoubleStream-Timestep1-Layer1-Rank2: 301.5524597167969ms
DoubleStream-Timestep1-Layer1-Rank0: 303.19384765625ms
DoubleStream-Timestep1-Layer2-Rank1: 291.750244140625ms
DoubleStream-Timestep1-Layer2-Rank3: 292.7814636230469ms
DoubleStream-Timestep1-Layer2-Rank0: 293.0428771972656ms
DoubleStream-Timestep1-Layer2-Rank2: 292.90447998046875ms
DoubleStream-Timestep1-Layer3-Rank3: 292.7193603515625ms
DoubleStream-Timestep1-Layer3-Rank0: 292.5180358886719ms
DoubleStream-Timestep1-Layer3-Rank1: 293.39923095703125ms
DoubleStream-Timestep1-Layer3-Rank2: 293.0633850097656ms
DoubleStream-Timestep1-Layer4-Rank3: 301.89471435546875ms
DoubleStream-Timestep1-Layer4-Rank0: 301.8550720214844ms
DoubleStream-Timestep1-Layer4-Rank1: 301.8433837890625ms
