model,attn_type,frame,gpus,ineqh,qc,kc,topp,minkc,row_type,prompt,lb0_total_ms,lb1_total_ms,speedup_ratio,speedup_percent,paired_prompt_count
hunyuanvideo,sparse_video_gen_2_attn,240,2,0,300,1000,0.95,0.10,prompt,g5zN,304902.97,291431.02,1.05,4.42,1
hunyuanvideo,sparse_video_gen_2_attn,240,2,0,300,1000,0.95,0.10,prompt,wZdc,312753.09,300964.02,1.04,3.77,1
hunyuanvideo,sparse_video_gen_2_attn,240,2,0,300,1000,0.95,0.10,avg_all_prompts,AVG_ALL_PROMPTS,308828.03,296197.52,1.04,4.09,2
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,8P21,153776.17,137697.23,1.12,10.46,1
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,eofm,163351.89,147584.96,1.11,9.65,1
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,g5zN,153115.92,136682.08,1.12,10.73,1
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,oA51,153941.0,137816.49,1.12,10.47,1
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,wZdc,156996.67,140534.61,1.12,10.49,1
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,zIoQ,151118.65,133688.78,1.13,11.53,1
hunyuanvideo,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,avg_all_prompts,AVG_ALL_PROMPTS,155383.38,139000.69,1.12,10.54,6
wan2.1-1.3b,sparse_video_gen_2_attn,240,2,0,300,1000,0.95,0.10,prompt,g5zN,,16520.22,,,0
wan2.1-1.3b,sparse_video_gen_2_attn,240,2,0,300,1000,0.95,0.10,avg_all_prompts,AVG_ALL_PROMPTS,,,,,0
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,8P21,12130.14,10203.47,1.19,15.88,1
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,eofm,12120.42,10255.23,1.18,15.39,1
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,g5zN,11734.75,10046.81,1.17,14.38,1
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,oA51,12206.29,10338.47,1.18,15.3,1
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,wZdc,12110.71,10165.79,1.19,16.06,1
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,zIoQ,12405.27,10390.97,1.19,16.24,1
wan2.1-1.3b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,avg_all_prompts,AVG_ALL_PROMPTS,12117.93,10233.46,1.18,15.55,6
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,8P21,265642.3,224344.23,1.18,15.55,1
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,eofm,267479.48,224418.05,1.19,16.1,1
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,g5zN,262016.39,219712.48,1.19,16.15,1
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,oA51,262692.21,219284.53,1.2,16.52,1
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,wZdc,271966.73,228121.21,1.19,16.12,1
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,prompt,zIoQ,258893.68,215789.62,1.2,16.65,1
wan2.1-14b,sparse_video_gen_2_attn,240,4,0,300,1000,0.95,0.10,avg_all_prompts,AVG_ALL_PROMPTS,264781.8,221945.02,1.19,16.18,6
